"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","GP","IP","W%","QS","BS","WP","HB","IBB","1B","2B","3B","HR","HR/9","K/9","BB/9","BR/9","BAA"
"Steven Matz","NYM","SP","113","MBC","29","","121","4.03","30","154",".313","12","0","0","10","2","78","29","2","25","1.46","8.88","3.39","11.81",".232"
"Chase Anderson","TOR","SP","114","FA","33","","121","4.03","30","158",".529","11","0","1","7","0","79","20","2","30","1.71","7.29","3.25","11.11",".228"
"Cody Allen","(N/A)","RP","115","FA","32","","121","1.73","70","67",".400","0","5","3","4","2","36","10","1","11","1.48","10.75","4.43","12.76",".231"
"Nick Pivetta","BOS","SP","116","FA","27","","118","3.58","33","164",".333","9","0","8","5","0","112","25","2","24","1.32","10.32","2.80","12.02",".261"
"Brad Keller","KC","SP","117","Luka","25","","117.83","2.87","41","140.1",".600","10","2","8","2","1","105","19","2","7","0.45","6.16","3.21","11.86",".252"
"Jared Hughes","NYM","RP","118","FA","35","","117.17","1.63","72","78.2",".571","0","4","5","2","2","45","7","1","4","0.46","6.75","2.63","9.38",".212"
"Sergio Romo","MIN","RP","119","FA","37","","116.33","1.59","73","67.1",".429","0","8","2","2","0","47","7","0","11","1.47","10.02","2.67","11.63",".253"
"Bud Norris","(N/A)","RP","120","FA","35","","115.67","1.81","64","57.2",".333","0","5","9","5","3","38","4","1","8","1.25","10.46","3.28","12.02",".237"
"Joey Lucchesi","SD","SP","121","FA","27","","115.5","4.44","26","130",".471","6","0","4","4","2","77","22","3","23","1.59","10.04","2.98","11.91",".254"
"Will Smith","ATL","RP","122","FA","31","","114.5","2.12","54","53",".400","0","4","2","0","4","26","8","0","3","0.51","12.06","2.55","8.83",".194"
"Yusmeiro Petit","OAK","RP","123","FA","36","","113.5","1.53","74","93",".700","0","2","1","0","4","45","16","2","13","1.26","7.35","1.74","9.10",".221"
"Taylor Rogers","MIN","RP","124","Nunez","29","","112.83","1.57","72","68.1",".333","0","2","0","2","3","35","10","1","3","0.40","9.88","2.11","8.82",".206"
"Dan Winkler","CHC","RP","125","FA","30","","111.33","1.61","69","60.1","1.000","0","3","2","5","1","34","13","2","3","0.45","10.29","2.98","11.49",".228"
"Vince Velasquez","PHI","SP","126","FA","28","","110.67","3.57","31","146.2",".429","11","0","9","8","1","82","35","5","16","0.98","9.88","3.62","12.58",".250"
"Ryan Yarbrough","TB","SP","127","NCNF","28","","110.33","2.9","38","147.1",".727","0","0","1","8","6","81","41","0","18","1.10","7.82","3.05","12.10",".246"
"Shane Bieber","CLE","SP","128","NT 4","25","","110.17","5.51","20","114.2",".688","8","0","5","2","0","75","40","2","13","1.02","9.26","1.81","12.17",".285"
"Archie Bradley","(N/A)","RP","129","NT 4","28","","110.17","1.45","76","71.2",".444","0","8","2","4","1","40","12","1","9","1.13","9.42","2.51","10.80",".229"
"Jake Odorizzi","(N/A)","SP","130","FA","30","","109.83","3.43","32","164.1",".412","10","0","1","8","3","85","41","5","20","1.10","8.87","3.83","12.54",".242"
"Jose Urena","(N/A)","SP","131","FA","29","","109.5","3.53","31","174",".429","12","0","2","12","8","106","28","2","19","0.98","6.72","2.64","11.28",".242"
"Zach Eflin","PHI","SP","132","FA","26","","109","4.54","24","128",".579","9","0","4","3","4","78","34","2","16","1.13","8.65","2.60","11.95",".261"
