"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","PA","HR","R","RBI","SB","BB/PA","K/PA","ISO","BABIP","AVG","WOBA"
"Eliezer Alfonzo","LAD","C","2232","FA","41","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Giovanny Alfonzo","MIA","2B,SS","2233","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Omar Alfonzo","PIT","C","2234","FA","17","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony Aliotti","OAK","1B","2235","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrestt Allday","BOS","OF","2236","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Blake Allemand","MIL","2B,SS","2237","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Allen","(N/A)","1B","2238","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trever Allen","LAA","OF","2239","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Willie Allen","WSH","OF","2240","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stetson Allie","PIT","1B,P","2241","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kenneth Allison","MIL","OF","2242","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Breland Almadova","ARI","OF","2243","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Almanzar","BAL","3B","2244","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jacoby Almaraz","STL","3B","2245","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zachery Almond","ARI","C","2246","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Denny Almonte","SEA","OF","2247","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Erick Almonte","MIL","OF","2248","FA","42","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Almonte","TEX","OF","2249","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jostyn Almonte","NYM","OF","2250","FA","17","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcos Almonte","HOU","3B","2251","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zoilo Almonte","(N/A)","OF","2252","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carlos Alonso","PHI","2B","2253","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"John Alonso","MIL","1B","2254","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yimmelvyn Alonzo","TEX","SS","2255","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Altmann","TEX","SS","2256","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bo Altobelli","MIN","C","2257","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"J.J. Altobelli","STL","3B,SS","2258","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jake Alu","WSH","2B,3B","2259","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Henry Alvarado","STL","1B","2260","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andres Alvarez","PIT","2B,SS","2261","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mandy Alvarez","NYY","3B","2262","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Miguel Alvarez","PHI","OF","2263","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ricky Alvarez","LAA","3B","2264","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Roberto Alvarez","TB","C","2265","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yorkislandy Alvarez","BAL","3B","2266","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zach Alvord","ATL","2B","2267","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Japhet Amador","HOU","1B","2268","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilson Amador","HOU","SS","2269","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beau Amaral","CIN","OF","2270","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daniel Amaral","PIT","OF","2271","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mario Amaral","MIL","C","2272","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gioskar Amaya","CHC","SS","2273","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chip Ambres","BOS","OF","2274","FA","40","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mike Amditis","CLE","C","2275","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angelo Amendolare","LAA","2B","2276","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alfredo Amezaga","(N/A)","2B,OF","2277","FA","42","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Richard Amion","SF","OF","2278","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yeuri Amparo","WSH","OF","2279","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonathan Amundaray","NYY","OF","2280","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luke Anders","SF","1B","2281","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Austen Anderson","BAL","SS","2282","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Blake Anderson","MIA","C","2283","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brian Anderson","CHW","OF,P","2284","FA","38","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bryan Anderson","OAK","C","2285","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Calvin Anderson","PIT","1B","2286","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carl Anderson","PIT","OF","2287","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Drew Anderson","CIN","OF","2288","FA","39","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jake Anderson","NYY","2B","2289","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Anderson","ATL","OF","2290","FA","38","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Anderson","ARI","3B","2291","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leslie Anderson","TB","1B,OF","2292","FA","38","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Robert Andino","BAL","2B","2293","FA","36","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greifer Andrade","SEA","SS","2294","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"John Andreoli","(N/A)","OF","2295","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Axel Andueza","ARI","C,1B","2296","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yoel Andujar","WSH","OF","2297","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nick Anello","(N/A)","OF,P","2298","FA","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Anetsberger","MIA","1B,3B,SS","2299","FA","35","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Angle","OAK","OF","2300","FA","35","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Anguizola","SD","C","2301","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyle Anson","NYY","C","2302","FA","37","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Antequera","PHI","2B","2303","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Anthony","ATL","3B","2304","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Antonelli","CLE","2B","2305","FA","35","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aaron Antonini","STL","C","2306","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mike Antonio","KC","SS","2307","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Robert Antunez","SF","2B","2308","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oraj Anu","BOS","OF","2309","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Norichika Aoki","(N/A)","OF","2310","FA","38","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Aper","MIA","OF","2311","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrew Aplin","HOU","OF","2312","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rhett Aplin","KC","1B","2313","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Aquino","WSH","2B","2314","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ricky Aracena","KC","SS","2315","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bryant Aragon","SD","1B","2316","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tim Arakawa","LAA","2B","2317","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Juan Araujo","ARI","OF","2318","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yoel Araujo","TB","OF","2319","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yazy Arbelo","ARI","1B","2320","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trae Arbet","PIT","SS","2321","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eric Arce","TOR","OF","2322","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Francisco Arcia","(N/A)","C","2323","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oswaldo Arcia","(N/A)","OF","2324","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Taylor Ard","SEA","1B","2325","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"J.P. Arencibia","TB","C","2326","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andry Arias","WSH","1B","2327","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Antonio Arias","NYY","OF","2328","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Christopher Arias","LAD","OF","2329","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Elias Arias","ATL","OF","2330","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jean Carlos Arias","MIN","OF","2331","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Juan Carlos Arias","TB","3B","2332","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Junior Arias","CIN","SS","2333","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"David Armendariz","CLE","OF","2334","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cole Armstrong","CHW","C","2335","FA","37","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joey Armstrong","ARI","OF","2336","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cristo Arnal","CLE","SS","2337","FA","35","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeremy Arocho","LAD","SS","2338","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bryndan Arredondo","BAL","C","2339","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carlos Arroyo","TEX","OF","2340","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marlon Arroyo","ARI","3B","2341","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rafael Arroyo","NYM","C","2342","FA","38","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aaron Arruda","OAK","1B","2343","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"J.T. Arruda","WSH","SS","2344","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Erisbel Arruebarrena","LAD","SS","2345","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rayder Ascanio","SEA","2B,SS","2346","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cody Asche","MIN","OF","2347","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yeison Asencio","SD","OF","2348","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nevin Ashley","SEA","C","2349","FA","36","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilfred Astudillo","NYM","C","2350","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carlos Asuaje","LAD","2B","2351","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Asuncion","SD","OF","2352","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Aubrey","WSH","1B","2353","FA","38","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oscar Aude","COL","OF","2354","FA","17","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joseph August","NYM","OF","2355","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Austin Aune","NYY","OF","2356","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brett Austin","CHW","C","2357","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jamal Austin","SEA","OF","2358","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jay Austin","HOU","OF","2359","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordon Austin","BOS","OF","2360","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Myles Austin","MIL","SS","2361","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Drew Avans","LAD","OF","2362","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Xavier Avery","(N/A)","OF","2363","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rivaldo Avila","BOS","C","2364","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guillermo Aviles","(N/A)","OF","2365","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Aviles","MIL","SS","2366","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mike Aviles","(N/A)","2B,SS","2367","FA","39","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sammy Ayala","CHW","C","2368","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rodrigo Ayarza","HOU","2B","2369","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Erick Aybar","(N/A)","SS","2370","FA","36","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jaime Ayende-Morales","TB","OF","2371","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alex Azor","TOR","OF","2372","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jesus Azuaje","PHI","SS","2373","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Babineau","ARI","C","2374","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Myles Babitt","ARI","OF","2375","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zach Babitt","LAD","2B","2376","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyle Bacak","WSH","C","2377","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeffrey Baez","CHC","OF","2378","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leudys Baez","ATL","OF","2379","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Baez","MIN","OF","2380","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yancarlos Baez","NYY","SS","2381","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Austin Bailey","KC","2B,SS","2382","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeff Bailey","MIN","1B","2383","FA","42","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Benjamin Baird","CLE","SS","2384","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeff Baisley","CHW","3B","2385","FA","37","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aaron Baker","BAL","1B","2386","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Abel Baker","LAA","C","2387","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Baker","SD","SS","2388","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Darren Baker","WSH","2B","2389","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeff Baker","(N/A)","1B,2B","2390","FA","39","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Baker","ARI","C","2391","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yasiel Balaquert","CHC","OF","2392","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Starlin Balbuena","STL","SS","2393","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Randhi Balcazar","TB","OF","2394","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Baldwin","LAD","OF","2395","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wladimir Balentien","(N/A)","OF","2396","FA","36","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaac Ballou","WSH","OF","2397","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ricardo Balogh","HOU","SS","2398","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeremy Baltz","SD","OF","2399","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Bandes","STL","1B","2400","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jett Bandy","BOS","C","2401","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wes Bankston","TEX","1B","2402","FA","37","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Bantz","MIA","C","2403","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"David Banuelos","MIN","C","2404","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corey Baptist","DET","1B","2405","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cameron Baranek","MIA","OF","2406","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Barash","LAA","C","2407","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brett Barbier","PHI","C","2408","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aaron Barbosa","SEA","OF","2409","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brian Barden","LAD","SS","2410","FA","39","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rafy Barete","TEX","OF","2411","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Addison Barger","ATL","SS,P","2412","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Clint Barmes","(N/A)","SS","2413","FA","41","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Avery Barnes","COL","OF","2414","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Barrett Barnes","PIT","OF","2415","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Barnes","(N/A)","OF","2416","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jared Barnes","MIA","C","2417","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jimmy Barnes","LAA","OF","2418","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Barnes","NYY","OF","2419","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Larry Barnes","LAD","1B","2420","FA","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Darwin Barney","(N/A)","2B","2421","FA","35","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Keon Barnum","CHW","1B","2422","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jacob Barnwell","COL","C","2423","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Barraza","CHW","C","2424","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Robert Barreras","CHW","1B","2425","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Derwin Barreto","TEX","SS","2426","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyle Barrett","MIA","OF","2427","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jack Barrie","MIN","1B","2428","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daniel Barrios","NYY","2B","2429","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonathan Barrios","PIT","SS","2430","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cameron Barstad","MIA","C","2431","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nicholas Bartolone","CLE","SS","2432","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daric Barton","TOR","1B","2433","FA","35","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Julian Barzilli","STL","3B","2434","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angel Basabe","PIT","OF","2435","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Basak","NYY","3B","2436","FA","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Franrielis Bastardo","PIT","OF","2437","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nick Basto","CHW","SS","2438","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aaron Bates","LAD","1B","2439","FA","36","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Freuddy Batista","SEA","C","2440","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jean-Carlos Batista","HOU","SS","2441","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Robinson Batista","SF","SS","2442","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matthew Batten","SD","2B","2443","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jay Baum","SEA","3B,SS","2444","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Baum","SD","3B","2445","FA","35","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cole Bauml","DET","OF","2446","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Asmin Bautista","ATL","OF","2447","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Claudio Bautista","CLE","2B","2448","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Erys Bautista","MIL","OF","2449","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Bautista","(N/A)","OF","2450","FA","40","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kenneth Bautista","NYM","OF","2451","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ricardo Bautista","STL","OF","2452","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Steve Bean","STL","C","2453","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Christopher Bec","TOR","C","2454","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ifran Becerra","CHW","2B","2455","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Beck","BOS","1B","2456","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Preston Beck","TEX","OF","2457","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Branden Becker","BAL","SS","2458","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeremy Beckham","TB","2B","2459","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Beckwith","WSH","SS","2460","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"William Beckwith","ATL","1B","2461","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Bednar","SF","2B,SS","2462","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carlos Belen","SD","3B","2463","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alexei Bell","TEX","OF","2464","FA","37","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bubba Bell","BOS","OF","2465","FA","38","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chad Bell","NYY","3B","2466","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"David Bell","(N/A)","3B","2467","FA","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Bellinger","CIN","1B","2468","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yenier Bello","ATL","C","2469","FA","35","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaac Bellony","BAL","OF","2470","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyle Bellows","CLE","3B","2471","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vince Belnome","NYM","2B","2472","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Engel Beltre","SF","OF","2473","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Geulin Beltre","KC","OF","2474","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ramon Beltre","CHW","2B,SS","2475","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ruben Benavides","CHW","C","2476","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bryan Bencosme","WSH","SS","2477","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cameron Benedetti","HOU","OF,P","2478","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Benjamin Bengston","PIT","3B,SS","2479","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Johan Benitez","ARI","SS","2480","FA","17","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lazaro Benitez","DET","OF","2481","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Casey Benjamin","TEX","1B,2B,3B,SS,OF","2482","FA","40","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mike Benjamin","COL","3B","2483","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joe Bennie","OAK","2B","2484","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Robert Bennie","OAK","OF","2485","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Benson","STL","OF","2486","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Griffin Benson","ATL","1B","2487","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joe Benson","(N/A)","OF","2488","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jesse Berardi","CLE","SS","2489","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Beresford","(N/A)","3B,SS","2490","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Berglund","TB","C","2491","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ronald Bermudez","(N/A)","UT","2492","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Roderick Bernadina","BAL","OF","2493","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Roger Bernadina","NYM","OF","2494","FA","36","","0","0","0","0","0","0","0","0","0","0","0","0","0"
